mp_id,material,spectral_spread,freq_gap_max_THz,freq_gap_max_ratio,frac_sv2_below_median,spectral_entropy,n_modes,phonopy_version
3361,Ba3Al2F12,0.639748,1.3521,0.0663,0.504,0.9286,204,3.4.0
524,Ba3As14,0.54697,0.9114,0.119,0.9121,0.7486,102,3.4.0
16978,Ba3MgSb2O9,0.668545,1.9094,0.0835,0.6127,0.9122,90,3.4.0
1195,Ba3P14,0.618401,2.3681,0.1737,0.951,0.5952,102,3.4.0
755363,Ba3SiO,0.589063,0.983,0.1107,0.1911,0.8886,60,3.4.0
9668,Ba3TiS5,0.763272,5.7545,0.39,0.5707,0.7568,54,3.4.0
6795,Ba5Ho8Zn4O21,0.577935,0.8496,0.0468,0.4961,0.9473,114,3.4.0
3563,Ba5Nb4O15,0.692315,2.2423,0.0895,0.4999,0.9184,72,3.4.0
3828,BaAl2O4,0.687177,4.0294,0.1395,0.7901,0.7918,42,3.4.0
4202,BaAl2O4,0.676874,2.7907,0.1004,0.6321,0.9017,168,3.4.0
4376,BaAlF5,0.602367,1.9179,0.0895,0.458,0.9338,84,3.4.0
28049,BaBrCl,0.410415,0.5625,0.1004,0.7726,0.9369,36,3.4.0
4559,BaCO3,0.961467,13.2505,0.2936,0.59,0.4684,15,3.4.0
5504,BaCO3,0.948891,12.7612,0.282,0.502,0.5654,60,3.4.0
23199,BaCl2,0.422849,0.5834,0.0853,0.6509,0.9593,36,3.4.0
568662,BaCl2,0.375607,1.1913,0.1949,0.6537,0.9008,9,3.4.0
1029,BaF2,0.410217,2.1097,0.2095,0.682,0.8777,9,3.4.0
4309,BaGa4S7,0.579635,2.2573,0.1826,0.6641,0.8841,72,3.4.0
2139,BaGe2,0.5572,1.9911,0.2374,0.8693,0.6869,72,3.4.0
3848,BaGe4O9,0.633775,2.563,0.0968,0.686,0.888,126,3.4.0
3915,BaHgO2,0.900773,9.6089,0.4564,0.3836,0.7963,12,3.4.0
752656,BaLa2O4,0.561615,2.7179,0.1689,0.5932,0.9223,84,3.4.0
1707,BaN6,1.19768,23.3055,0.3393,0.5849,0.4136,42,3.4.0
2892,BaNd2O4,0.557945,2.2862,0.1371,0.6037,0.9078,84,3.4.0
1105,BaO2,1.014809,18.951,0.6844,0.525,0.5252,9,3.4.0
1342,BaO,0.564212,3.7634,0.3239,0.183,0.9307,6,3.4.0
684,BaS2,0.700044,7.6473,0.5518,0.7999,0.6865,18,3.4.0
239,BaS3,0.690816,6.6936,0.485,0.9065,0.6639,24,3.4.0
3164,BaSO4,0.839942,9.6199,0.2715,0.4879,0.6785,72,3.4.0
1500,BaS,0.424666,1.792,0.2414,0.6362,0.926,6,3.4.0
3564,BaSc2O4,0.526788,2.1055,0.0904,0.5972,0.8696,126,3.4.0
1253,BaSe,0.312054,0.9421,0.1868,0.7643,0.9014,6,3.4.0
555387,BaSi2(BO4)2,0.611286,2.0393,0.0589,0.5276,0.9645,156,3.4.0
3031,BaSi2O5,0.741608,5.8211,0.1696,0.4398,0.9327,96,3.4.0
1477,BaSi2,0.69136,3.4865,0.2389,0.9368,0.5643,72,3.4.0
3777,BaSiN2,0.699998,5.3034,0.1659,0.5601,0.8983,48,3.4.0
1000,BaTe,0.321812,0.7512,0.2058,0.7529,0.8738,6,3.4.0
3943,BaTi2O5,0.583723,1.5938,0.0606,0.6193,0.8658,72,3.4.0
3175,BaTi4O9,0.589512,2.693,0.0962,0.4673,0.9506,84,3.4.0
2998,BaTiO3,0.529465,6.3667,0.2831,0.9606,0.2249,15,3.4.0
3952,BaY2O4,0.491473,2.0306,0.1194,0.6994,0.9336,84,3.4.0
6089,BaZn2(PO4)2,0.771432,8.7586,0.263,0.6966,0.7111,156,3.4.0
3881,BaZnF4,0.547352,1.4985,0.1028,0.5476,0.9703,36,3.4.0
4236,BaZnO2,0.673559,4.5017,0.2423,0.5512,0.877,36,3.4.0
3104,BaZrN2,0.692918,3.2386,0.1473,0.2847,0.9702,24,3.4.0
1569,Be2C,0.269988,4.8136,0.1664,0.7526,0.9253,9,3.4.0
3347,Be2SiO4,0.442547,1.7566,0.0542,0.688,0.9548,126,3.4.0
3081,BeAl2O4,0.375801,3.7545,0.117,0.6279,0.9317,84,3.4.0
2542,BeO,0.329073,5.1486,0.1592,0.836,0.8724,12,3.4.0
422,BeS,0.446978,6.9493,0.3466,0.8611,0.7522,6,3.4.0
1541,BeSe,0.580077,8.8274,0.4836,0.7257,0.6937,6,3.4.0
252,BeTe,0.652783,9.3687,0.5768,0.6477,0.698,6,3.4.0
23237,BiF3,0.496292,1.8496,0.1367,0.5445,0.9564,48,3.4.0
568388,BiI,0.526331,0.8064,0.1951,0.503,0.8883,24,3.4.0
23074,BiOF,0.724861,4.7425,0.2745,0.4525,0.8653,18,3.4.0
759825,BiOF,0.616731,2.8741,0.1795,0.28,0.9435,36,3.4.0
1167,CF4,0.844489,10.1113,0.2647,0.7081,0.3355,30,3.4.0
990448,C,0.50862,15.3514,0.316,0.6038,0.9597,6,3.4.0
4555,Ca(AsO3)2,0.485973,2.024,0.0895,0.6537,0.9476,27,3.4.0
2898,Ca(AuO2)2,0.588342,3.076,0.1545,0.5768,0.9099,42,3.4.0
3417,Ca(BO2)2,0.762966,8.5016,0.1808,0.2423,0.9471,84,3.4.0
558543,Ca(CO2)2,0.877983,13.1541,0.2545,0.8133,0.58,84,3.4.0
9570,Ca(CdP)2,0.503235,1.3327,0.1452,0.4843,0.9394,15,3.4.0
9564,Ca(MgAs)2,0.399637,1.3618,0.1388,0.7317,0.909,15,3.4.0
3142,Ca(NO3)2,0.890166,14.3391,0.3233,0.8265,0.3811,108,3.4.0
18642,Ca(YS2)2,0.372436,0.5497,0.0534,0.7795,0.9423,84,3.4.0
3859,Ca2B2O5,0.7763,6.0438,0.1393,0.6505,0.743,108,3.4.0
