mp_id,material,spacegroup,sg_symbol,crystal_system,nsites,volume,density
2961,MgSiP2,122,I-42d,Tetragonal,16,331.4192,2291.51
2963,CaAl2O4,14,P2_1/c,Monoclinic,84,1068.2087,2948.07
2964,NaNO2,44,Imm2,Orthorhombic,8,106.1014,2159.62
2969,CsSbSe2,14,P2_1/c,Monoclinic,16,554.7323,4940.15
2973,Pr3Sb5O12,217,I-43m,Cubic,80,1334.7804,6088.48
2979,ZnGeN2,33,Pna2_1,Orthorhombic,16,181.1705,6087.2
2980,Pr2Te4O11,15,C2/c,Monoclinic,68,1031.7161,6233.3
2983,Ba(PN2)2,205,Pa-3,Cubic,84,1074.1187,4736.21
2994,Co2(GeTe)3,148,R-3,Trigonal,96,1934.7618,7400.86
2998,BaTiO3,221,Pm-3m,Cubic,5,63.344,6113.05
3006,P2Pd3S8,164,P-3m1,Trigonal,13,294.1619,3599.96
3009,Rb2BeF4,62,Pnma,Orthorhombic,28,462.2033,3678.04
3031,BaSi2O5,62,Pnma,Orthorhombic,32,483.5545,3756.76
3032,RbBF4,62,Pnma,Orthorhombic,24,371.2783,3081.95
3033,RbTaO3,12,C2/m,Monoclinic,40,667.7453,6255.04
3038,Al2HgSe4,82,I-4,Tetragonal,14,353.8822,5352.97
3041,Er2CdS4,227,Fd-3m,Cubic,56,1350.0154,5659.93
3042,K2SiF6,225,Fm-3m,Cubic,36,537.0172,2724.47
3050,Y3Al5O12,230,Ia-3d,Cubic,160,1724.6244,4572.48
3051,Mg2GeO4,62,Pnma,Orthorhombic,28,306.7688,4010.98
3054,Li2CO3,15,C2/c,Monoclinic,24,230.9737,2124.9
3056,NaTlO2,166,R-3m,Trigonal,12,161.8755,7982.01
3070,Na2CO3,12,C2/m,Monoclinic,24,274.5062,2564.58
3073,Sm2Te4O11,15,C2/c,Monoclinic,68,993.4277,6599.94
3074,KAgO,139,I4/mmm,Tetragonal,24,527.5862,4103.39
3075,TlGeS2,62,Pnma,Orthorhombic,32,801.012,5657.83
3078,CdSiAs2,122,I-42d,Tetragonal,16,376.93,5116.29
3079,CaTa4O11,182,P6_322,Hexagonal,32,410.912,7596.18
3080,Ca5(Ga3O7)2,36,Cmc2_1,Orthorhombic,100,1347.9098,4152.71
3081,BeAl2O4,62,Pnma,Orthorhombic,28,229.3503,3677.23
3082,CaSO4,180,P6_222,Hexagonal,18,262.3911,2584.69
3094,SrAl2O4,4,P2_1,Monoclinic,28,382.8207,3566.94
3098,AlCuO2,194,P6_3/mmc,Hexagonal,8,79.0261,5149.18
3102,TaCuS3,62,Pnma,Orthorhombic,20,378.458,5979.29
3104,BaZrN2,129,P4/nmm,Tetragonal,8,143.9261,5920.2
3107,Ga3PO7,160,R3m,Trigonal,33,366.5901,4785.24
3118,Mg3TeO6,148,R-3,Trigonal,60,667.4109,4426.38
