mp_id,material,gamma_mean,gamma_transport,gamma_norm_mean,gamma_norm_transport,kappa_rta,log_gamma_transport,inv_gamma_transport,n_modes,compute_time_s
700,GeSe,0.024403,0.021216,0.002780,0.004035,2.39,-3.8530,47.1347,24,62.8
985829,HfS2,0.135522,0.095760,0.003243,0.002565,8.20,-2.3459,10.4428,9,17.6
706,HgF,0.200624,0.315069,0.017993,0.018787,1.06,-1.1550,3.1739,12,15.3
1224,HgO,0.113071,0.167499,0.006975,0.005323,3.14,-1.7868,5.9702,24,53.4
634,HgS,0.077649,0.119571,0.006881,0.008454,0.86,-2.1238,8.3632,18,16.1
20351,InP,0.004355,0.004343,0.000188,0.000312,48.19,-5.4391,230.2327,6,2.6
19795,InS,0.066726,0.059504,0.002525,0.002566,3.29,-2.8217,16.8055,24,62.8
23956,K2MgH4,0.556904,0.702492,0.001821,0.001822,6.21,-0.3531,1.4235,21,23.4
2672,K2O2,0.098806,0.084854,0.004175,0.004911,20644653037295105436811264.00,-2.4668,11.7849,24,48.1
971,K2O,0.196551,0.189284,0.007944,0.007981,3.02,-1.6645,5.2831,9,6.2
1022,K2S,0.071161,0.052640,0.005420,0.005339,3.12,-2.9443,18.9970,9,6.2
1747,K2Te,0.025704,0.019924,0.004315,0.005815,1.76,-3.9158,50.1911,9,6.2
3808,K2UO4,0.124444,0.157330,0.009648,0.005114,1.93,-1.8494,6.3561,21,23.3
29484,K4HgAs2,0.053025,0.039222,0.007647,0.009931,0.59,-3.2385,25.4958,21,14.2
11719,K4ZnP2,0.071620,0.048557,0.006936,0.007949,0.98,-3.0250,20.5945,21,13.9
23251,KBr,0.034561,0.029074,0.004738,0.006667,2.74,-3.5379,34.3956,6,2.7
3982,KCuO2,0.068036,0.067505,0.002879,0.002406,4.41,-2.6955,14.8136,24,60.2
15785,KDyS2,0.044090,0.028671,0.001829,0.002274,3.96,-3.5519,34.8788,12,11.5
4326,KErS2,0.043764,0.028159,0.001780,0.002185,4.18,-3.5699,35.5120,12,11.5
463,KF,0.063980,0.072779,0.002307,0.003087,9.28,-2.6203,13.7402,6,2.7
4495,KLiTe,0.042024,0.047066,0.001698,0.002969,2.60,-3.0562,21.2469,18,15.1
3448,KMgF3,0.079391,0.076228,0.001345,0.001406,6.97,-2.5740,13.1185,15,14.6
545359,KNa2CuO2,0.135799,0.126457,0.007639,0.009109,1.12,-2.0678,7.9078,18,15.5
4519,KPrO2,0.104373,0.116698,0.002211,0.002137,4.99,-2.1482,8.5691,12,11.6
11703,KSbS2,0.101616,0.112528,0.006825,0.008001,0.88,-2.1846,8.8867,24,76.5
15783,KSmS2,0.043468,0.030112,0.001910,0.002514,3.45,-3.5028,33.2089,12,11.5
3614,KTaO3,0.086706,0.105507,0.001725,0.002566,6.43,-2.2490,9.4781,15,14.7
2072,KTe,0.117394,0.075158,0.023540,0.031839,0.26,-2.5882,13.3052,24,30.4
1968,La2O3,0.116432,0.111673,0.002884,0.003176,3.35,-2.1922,8.9548,15,10.2
4511,La2SO2,0.072924,0.054241,0.001149,0.001195,9.78,-2.9143,18.4361,15,10.1
4547,La2TeO2,0.060942,0.079106,0.001369,0.001147,8.32,-2.5370,12.6413,15,8.8
27979,LaI3,0.032088,0.029635,0.005658,0.007521,1.10,-3.5188,33.7435,24,49.8
15988,Li2CuSb,0.062119,0.032180,0.001660,0.001972,4.61,-3.4364,31.0750,12,12.7
841,Li2O2,0.225461,0.156484,0.001806,0.002163,6.54,-1.8548,6.3904,24,30.9
1960,Li2O,0.146633,0.112752,0.000799,0.000896,18.61,-2.1826,8.8690,9,6.3
1153,Li2S,0.061568,0.047702,0.000802,0.001036,10.71,-3.0428,20.9636,9,6.3
2286,Li2Se,0.062654,0.058389,0.000914,0.000895,11.21,-2.8406,17.1265,9,6.2
2530,Li2Te,0.056044,0.059330,0.000950,0.001024,9.29,-2.8246,16.8548,9,6.2
3216,Li2ZrN2,0.122215,0.098154,0.000891,0.000984,9.77,-2.3212,10.1880,15,10.0
757,Li3As,0.325999,0.271657,0.009835,0.016893,1.87,-1.3032,3.6811,24,30.8
985585,Li3ClO,0.189557,0.186420,0.003370,0.003417,4.67,-1.6798,5.3642,15,14.6
736,Li3P,0.267938,0.206642,0.005627,0.009124,2.34,-1.5768,4.8393,24,30.6
2074,Li3Sb,0.133645,0.120247,0.003428,0.003580,2.83,-2.1182,8.3162,12,12.6
