mp_id,material,sv2,sv2_per_mode,n_modes,n_masked_weighted,phonopy_version
3236,Pr2SO2,2972.5854,198.1724,15,0.0,3.4.0
4764,Pr2SeO2,2672.3018,178.1535,15,0.0,3.4.0
4394,Pr2Sn2O7,10235.9214,155.0897,66,0.0,3.4.0
2980,Pr2Te4O11,8998.0326,88.216,102,0.366898,3.4.0
2973,Pr3Sb5O12,7383.8231,61.5319,120,0.0,3.4.0
3466,PrAlO3,16657.9041,555.2635,30,0.0,3.4.0
975666,PrBrO,5254.0461,291.8915,18,0.0,3.4.0
2651,PrF3,6477.4004,89.9639,72,0.0,3.4.0
4535,PrGaO3,13521.9923,225.3665,60,0.0,3.4.0
4709,PrNbO4,7897.8195,219.3839,36,0.0,3.4.0
769173,PrOF,3854.3449,214.1303,18,0.0,3.4.0
4589,PrPO4,7785.847,108.1368,72,0.0,3.4.0
3954,PrPS4,3769.2818,26.1756,144,0.0,3.4.0
17446,PrPtF7,4848.6459,44.8949,108,0.060185,3.4.0
1285,PtO2,6780.8815,376.7156,18,0.0,3.4.0
617,PtO2,4342.4089,482.4899,9,0.017361,3.4.0
571293,Rb2BaNb2Se11,1427.9213,7.4371,192,0.006944,3.4.0
3009,Rb2BeF4,2932.3652,34.9091,84,0.0,3.4.0
4138,Rb2CO3,3244.4365,45.0616,72,0.0,3.4.0
18556,Rb2Cd3S4,2270.1948,21.0203,108,0.0,3.4.0
4052,Rb2Mn3Se4,3067.7991,56.8111,54,0.001157,3.4.0
1394,Rb2O,2845.6588,316.1843,9,0.0,3.4.0
2079,Rb2P3,793.3755,26.4458,30,0.0,3.4.0
21461,Rb2PbO3,9914.13,137.6963,72,0.0,3.4.0
21489,Rb2PbO3,5173.6274,143.7119,36,0.0,3.4.0
4030,Rb2Pt3S4,1813.1892,67.1552,27,0.002315,3.4.0
7929,Rb2PtS2,1708.9515,113.9301,15,0.0,3.4.0
3372,Rb2SO4,2534.7745,30.1759,84,0.0,3.4.0
4618,Rb2SeO4,2311.485,27.5177,84,0.0,3.4.0
2095,Rb2Te3,5251.234,87.5206,60,0.671296,3.4.0
756156,Rb2ZrO3,10820.6296,300.573,36,0.0,3.4.0
